t_ms,roll,pitch,altitude,vz,m1,m2,m3,m4,throttle,p_roll,i_roll,d_roll,p_pitch,i_pitch,d_pitch,corr_roll,corr_pitch,scenario
0.0,0.0,0.0,0.0001,0.008,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
16.1,0.0,0.0,0.0002,0.0158,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
33.0,0.0,0.0,0.0005,0.0234,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
50.1,0.0,0.0,0.0008,0.031,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
67.2,0.0,0.0,0.0012,0.0384,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
83.4,0.0,0.0,0.0016,0.0456,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
100.0,0.0,0.0,0.0021,0.0528,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
116.2,0.0,0.0,0.0027,0.0598,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
133.5,0.0,0.0,0.0034,0.0666,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
149.8,0.0,0.0,0.0041,0.0734,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
166.5,0.0,0.0,0.0049,0.08,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
183.5,0.0,0.0,0.0058,0.0865,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
199.6,0.0,0.0,0.0067,0.0929,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
216.0,0.0,0.0,0.0077,0.0992,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
233.1,0.0,0.0,0.0088,0.1054,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
249.3,0.0,0.0,0.0099,0.1114,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
265.6,0.0,0.0,0.0111,0.1174,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
281.7,0.0,0.0,0.0123,0.1232,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
297.6,0.0,0.0,0.0136,0.129,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
313.1,0.0,0.0,0.0149,0.1346,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
329.6,0.0,0.0,0.0163,0.1401,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
345.2,0.0,0.0,0.0178,0.1455,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
362.4,0.0,0.0,0.0193,0.1509,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
378.6,0.0,0.0,0.0209,0.1561,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
394.1,0.0,0.0,0.0225,0.1612,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
410.4,0.0,0.0,0.0241,0.1663,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
426.5,0.0,0.0,0.0259,0.1713,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
442.8,0.0,0.0,0.0276,0.1761,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
459.0,0.0,0.0,0.0294,0.1809,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
476.2,0.0,0.0,0.0313,0.1856,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
493.4,0.0,0.0,0.0332,0.1902,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
510.5,0.0,0.0,0.0351,0.1947,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
526.0,0.0,0.0,0.0371,0.1992,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
543.1,0.0,0.0,0.0392,0.2035,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
559.3,0.0,0.0,0.0412,0.2078,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
576.2,0.0,0.0,0.0434,0.212,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
592.4,0.0,0.0,0.0455,0.2162,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
607.8,0.0,0.0,0.0477,0.2202,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
624.9,0.0,0.0,0.05,0.2242,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
642.0,0.0,0.0,0.0522,0.2281,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
658.2,0.0,0.0,0.0546,0.232,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
674.6,0.0,0.0,0.0569,0.2358,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
690.6,0.0,0.0,0.0593,0.2395,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
706.7,0.0,0.0,0.0617,0.2431,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
721.8,0.0,0.0,0.0642,0.2467,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
738.9,0.0,0.0,0.0667,0.2502,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
756.3,0.0,0.0,0.0693,0.2536,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
773.5,0.0,0.0,0.0718,0.257,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
788.8,0.0,0.0,0.0744,0.2603,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
805.9,0.0,0.0,0.0771,0.2636,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
823.2,0.0,0.0,0.0797,0.2668,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
839.6,0.0,0.0,0.0824,0.2699,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
855.2,0.0,0.0,0.0852,0.273,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
872.5,0.0,0.0,0.0879,0.2761,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
888.5,0.0,0.0,0.0907,0.2791,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
904.5,0.0,0.0,0.0935,0.282,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
921.6,0.0,0.0,0.0964,0.2849,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
937.6,0.0,0.0,0.0993,0.2877,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
952.8,0.0,0.0,0.1022,0.2904,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
969.2,0.0,0.0,0.1051,0.2932,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manuel
